time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1716607418.01019406,0.02092672,4504,0.00024298,0.00000000,0,0.00000139,270913,270928,27,0.00032912
1716607418.11011434,0.02021166,4518,0.00021117,0.00000000,0,0.00000082,270928,270930,29,0.00052392
1716607418.21097922,0.01989559,4394,0.00022762,0.00000000,0,0.00000089,270930,270951,29,0.00048162
1716607418.31027436,0.02012293,4488,0.00029376,0.00000000,0,0.00000135,270951,270955,36,0.00034455
1716607418.41016817,0.02097220,4374,0.00047005,0.00000000,0,0.00000103,270955,270955,45,0.00054039
1716607418.51016355,0.02117155,4422,0.00028253,0.00000000,0,0.00000125,270955,270974,47,0.00060384
1716607418.61042738,0.02083161,4452,0.00020064,0.00000000,0,0.00000119,270974,270978,27,0.00051430
1716607418.71050906,0.02267504,4408,0.00019629,0.00000000,0,0.00000097,270795,270816,33,0.00070090
1716607418.81031489,0.01951934,4497,0.00020442,0.00000000,0,0.00000103,270816,270823,31,0.00072412
1716607418.91033506,0.01784743,4382,0.00025397,0.00000000,0,0.00000109,270823,270840,37,0.00047163
1716607419.00996280,0.02057716,4487,0.00022841,0.00000000,0,0.00000109,270840,270854,32,0.00048629
1716607419.11060119,0.02231235,4482,0.00028255,0.00000000,0,0.00000110,270854,270870,35,0.00047155
1716607419.20993829,0.02117233,4413,0.00027634,0.00000000,0,0.00000107,270870,270863,36,0.00045757
1716607419.30989790,0.02063630,4520,0.00024282,0.00000000,0,0.00000106,270863,270868,33,0.00057169
1716607419.40985751,0.01859007,4464,0.00060109,0.00000000,0,0.00000076,270868,270829,38,0.00048681
1716607419.51002002,0.02137176,4468,0.00026729,0.00000000,0,0.00000119,270829,270836,39,0.00043791
1716607419.60997200,0.02135160,4469,0.00020020,0.00000000,0,0.00000128,270836,270847,28,0.00046547
1716607419.71015501,0.01911129,4405,0.00023370,0.00000000,0,0.00000078,270847,270867,30,0.00047902
1716607419.81001163,0.02113400,4514,0.00035401,0.00000000,0,0.00000086,270867,270880,40,0.00052696
1716607419.91013455,0.02322512,4362,0.00041326,0.00000000,0,0.00000109,270880,270897,39,0.00057424
1716607420.01019621,0.02047426,4459,0.00023858,0.00000000,0,0.00000084,270897,270920,39,0.00045652
1716607420.11034417,0.02059366,4404,0.00017480,0.00000000,0,0.00000128,270920,270947,40,0.00033092
1716607420.21038961,0.02151211,4378,0.00033992,0.00000000,0,0.00000100,270947,270933,36,0.00051523
1716607420.31029820,0.01998538,4452,0.00018919,0.00000000,0,0.00000106,270933,270937,28,0.00051821
1716607420.41031265,0.02018470,4400,0.00034045,0.00000000,0,0.00000081,270937,270958,47,0.00050285
1716607420.51045299,0.02448187,4450,0.00026192,0.00000000,0,0.00000090,270958,270972,38,0.00045415
